Title,Patent Number,Issue Date,Inventors,Assignee,Abstract,Google Patents URL
Offload data transfer engine for a block data transfer interface,10157142,2018-12-18,"Sivakumar Radhakrishnan, Vishal Verma, Chet R. Douglas, Ashok Raj, Narayan Ranganathan, Dan Williams",Intel Corporation,"In one embodiment, a block data transfer interface employing offload data transfer engine in accordance with the present description includes an offload data transfer engine executing a data transfer command set to transfer a block of data in a transfer data path from a source memory to a new region of a destination memory, wherein the transfer data path bypasses a central processing unit to minimize or reduce involvement of the central processing unit in the block transfer. In response to a suc...",https://patents.google.com/patent/US10157142
Apparatus and method for system physical address to memory module address translation,10162761,2018-12-25,"Mohan J. Kumar, Sarathy Jayakumar, Ashok Raj, Theodros Yigzaw, Ronald N. Story, Sreenivas Mandava",Intel Corporation,"An apparatus and method are described for system physical address to memory module address translation. For example, one embodiment of an apparatus comprises: a fetch circuit of a core to fetch a system physical address (SPA) translate instruction from memory; a decode circuit of the core to decode the SPA translate instruction; a first register to store an SPA associated with the SPA translate instruction; a memory controller comprising one or more channel controllers to initiate a translation ...",https://patents.google.com/patent/US10162761
Handling of error prone cache line slots of memory side cache of multi-level system memory,10185619,2019-01-22,"Mohan J. Kumar, Robert C. Swanson, Ashok Raj, Theodros Yigzaw",Intel Corporation,An apparatus is described that includes memory controller logic circuitry to interface with a memory side cache of a multi-level system memory. The memory controller logic circuitry includes error tracking circuitry to track errors of cache line slots in the memory side cache. The memory controller logic circuitry also comprises faulty list circuitry to store identifiers of faulty cache line slots that are deemed to be excessively error prone. The memory controller logic circuitry is to declare ...,https://patents.google.com/patent/US10185619
Instruction and logic to expose error domain topology to facilitate failure isolation in a processor,10223187,2019-03-05,"Vincent J. Zimmer, Mohan J. Kumar, Ashok Raj, Narayan Ranganathan",Intel Corporation,"A processor includes an instruction decoder to receive an instruction to perform a machine check operation, the instruction having a first operand and a second operand. The processor further includes a machine check logic coupled to the instruction decoder to determine that the instruction is to determine a type of a machine check bank based on a command value stored in a first storage location indicated by the first operand, to determine a type of a machine check bank identified by a machine ch...",https://patents.google.com/patent/US10223187
"Read from memory instructions, processors, methods, and systems, that do not take exception on defective data",10296416,2019-05-21,"Hisham Shafi, Mohan J. Kumar, Sarathy Jayakumar, Ron Gabor, Sergiu D. Ghetie, Ashok Raj, Theodros Yigzaw, Neeraj Upasani",Intel Corporation,"A processor of an aspect includes a decode unit to decode a read from memory instruction. The read from memory instruction is to indicate a source memory operand and a destination storage location. The processor also includes an execution unit coupled with the decode unit. The execution unit, in response to the read from memory instruction, is to read data from the source memory operand, store an indication of defective data in an architecturally visible storage location, when the data is defect...",https://patents.google.com/patent/US10296416
Enabling error status and reporting in a machine check architecture,10318368,2019-06-11,"Ashok Raj, Theodros Yigzaw",Intel Corporation,"In accordance with implementations disclosed herein, there is provided systems and methods for enabling error status and reporting in a machine check environment. A processing device includes an error status register and an error status component communicably coupled to the error status register. The error status component determines that a machine check error (MCE) is a first correctable error (CE) and sets a first error status corresponding to the first CE in the error status register based on...",https://patents.google.com/patent/US10318368
Hardware apparatuses and methods to check data storage devices for transient faults,10319458,2019-06-11,"Hisham Shafi, Mohan J. Kumar, Ron Gabor, Ashok Raj, Theodros Yigzaw",Intel Corporation,"Methods and apparatuses relating to a hardware memory test unit to check a section of a data storage device for a transient fault before the data is stored in and/or loaded from the section of the data storage device are described. In one embodiment, an integrated circuit includes a hardware processor to operate on data in a section of a data storage device, and a memory test unit to check the section of the data storage device for a transient fault before the data is stored in the section of th...",https://patents.google.com/patent/US10319458
System and method to increase availability in a multi-level memory configuration,10324852,2019-06-18,"Mohan J. Kumar, Robert C. Swanson, Ashok Raj, Theodros Yigzaw",Intel Corporation,One embodiment provides for a data processing system comprising a multi-level system memory including a first memory level of volatile memory and a second memory level that is larger and slower in comparison with the first memory level. The second memory level includes non-volatile memory and can additionally include volatile memory. The multi-level system memory includes a multi-level memory controller including logic to manage a list of faulty addresses within the multi-level system memory. Th...,https://patents.google.com/patent/US10324852
Systems and method for dynamic address based mirroring,10387072,2019-08-20,"Mohan J. Kumar, Sarathy Jayakumar, Ashok Raj, Ronald N. Story, Hemalatha Gurumoorthy",Intel Corporation,"A systems and methods for dynamic address based minoring are disclosed. A system may include a processor, comprising a mirror address range register to store data indicating a location and a size of a first portion of a system memory to be mirrored. The processor may further include a memory controller coupled to the mirror address range register and including circuitry to cause a second portion of the system memory to mirror the first portion of the system memory.",https://patents.google.com/patent/US10387072
Determine when an error log was created,10430267,2019-10-01,"Ashok Raj, Narayan Ranganathan",Intel Corporation,"A computing system can include a machine check counter (MCC) including a current value. The current value indicates a system reboot resetting hardware of the computing system. The machine check counter includes a model specific register including a counter indicating the current value, the current value to be incremented upon the system reboot.",https://patents.google.com/patent/US10430267
Providing dedicated resources for a system management mode of a processor,10474596,2019-11-12,"Mohan J. Kumar, Sarathy Jayakumar, Sergiu D. Ghetie, Ashok Raj, John G. Holm, Narayan Ranganathan",Intel Corporation,"In one embodiment, a processor includes a plurality of cores including a first core to be reserved for execution in a protected domain, the first core to be hidden from an operating system. The processor may further include a filter coupled to the plurality of cores, where the filter includes a plurality of fields each associated with one of the plurality of cores to indicate whether an interrupt of the protected domain is to be directed to the corresponding core. Other embodiments are described...",https://patents.google.com/patent/US10474596
Memory pressure notifier,10579551,2020-03-03,"David Hansen, Alexandre Y. Solomatnikov, Chandan Egbert, Ashok Raj, Ishwar Agarwal, Amin Firoozshahian, Andreas Kleen, Stephen R. Van Doren, Omid Azizi, Mahesh Madhav, Mahesh Maddury",Intel Corporation,"Various systems and methods for computer memory management are described herein. A system includes a memory controller to: monitor utilization of a memory device, the memory device used with a memory compression technique; determine that the utilization of the memory device violates a threshold; and initiate a system interrupt to provoke a response, responsive to the utilization of the memory device violating the threshold.",https://patents.google.com/patent/US10579551
Management of processor performance based on user interrupts,10599596,2020-03-24,"Ashok Raj, Jacob Pan, Srinivas Pandruvada",Intel Corporation,"In an embodiment, a processor for performance state adjustment includes a plurality of processing engines (PEs), a power control unit, and an input/output memory management unit (IOMMU). The IOMMU is to determine a destination PE for a user interrupt based on mapping data of the IOMMU, and to send a notification of the user interrupt to the power control unit. The notification indicates the destination PE for the user interrupt. The power control unit is to adjust a performance state of the dest...",https://patents.google.com/patent/US10599596
"System, apparatus and method for providing hardware feedback information in a processor",10620969,2020-04-14,"Eugene Gorbatov, Avinash N. Ananthakrishnan, Vedvyas Shanbhogue, Russell J. Fenger, Ashok Raj, Kameswar Subramaniam",Intel Corporation,"In one embodiment, a processor includes a plurality of cores to execute instructions, a first identification register having a first field to store a feedback indicator to indicate to an operating system (OS) that the processor is to provide hardware feedback information to the OS dynamically and a power controller coupled to the plurality of cores. The power controller may include a feedback control circuit to dynamically determine the hardware feedback information for at least one of the plura...",https://patents.google.com/patent/US10620969
